,Node Label,PN incoming Connections,FSI incoming Connections,LTS incoming Connections
423,PN,15,17,7
424,PN,22,19,16
425,PN,19,23,7
426,PN,1,2,4
427,PN,28,26,10
428,PN,1,1,1
429,PN,22,26,13
430,PN,13,12,13
431,PN,9,4,5
432,PN,1,1,0
433,PN,0,0,0
434,PN,5,10,9
435,PN,14,18,13
436,PN,5,7,5
437,PN,5,6,4
438,PN,24,26,19
439,PN,37,20,15
440,PN,12,4,6
441,PN,13,12,11
442,PN,1,3,2
443,PN,7,21,8
444,PN,32,37,9
445,PN,20,17,20
446,PN,16,18,15
447,PN,29,23,21
448,PN,53,30,26
449,PN,0,1,0
450,PN,2,5,2
451,PN,29,44,19
452,PN,35,24,14
453,PN,1,3,4
454,PN,0,1,1
455,PN,38,41,36
456,PN,0,2,1
457,PN,3,3,1
458,PN,8,10,4
459,PN,0,3,1
460,PN,34,36,18
461,PN,14,15,8
462,PN,28,26,14
463,PN,10,8,5
464,PN,34,25,17
465,PN,3,7,8
466,PN,42,35,31
467,PN,7,7,8
468,PN,6,11,3
469,PN,0,0,0
470,PN,3,0,1
471,PN,5,7,4
472,PN,9,12,9
473,PN,5,5,4
474,PN,20,16,10
475,PN,3,3,5
476,PN,26,40,30
477,PN,30,31,18
478,PN,28,37,28
479,PN,1,7,6
480,PN,2,6,5
481,PN,0,1,0
482,PN,29,27,14
483,PN,7,7,2
484,PN,11,14,10
485,PN,23,24,8
486,PN,0,0,0
487,PN,5,7,3
488,PN,2,7,3
489,PN,0,0,0
490,PN,1,7,4
491,PN,9,17,12
492,PN,0,0,0
493,PN,13,21,9
494,PN,0,1,0
495,PN,0,0,0
496,PN,5,13,11
497,PN,18,23,17
498,PN,1,3,1
499,PN,12,9,10
500,PN,9,8,8
501,PN,0,0,1
502,PN,0,3,1
503,PN,2,2,0
504,PN,4,2,4
505,PN,43,38,26
506,PN,0,0,0
507,PN,25,24,13
508,PN,17,16,21
509,PN,49,47,26
510,PN,34,32,17
511,PN,12,17,8
512,PN,16,19,14
513,PN,1,0,0
514,PN,19,24,16
515,PN,0,0,0
516,PN,39,25,20
517,PN,2,3,4
518,PN,26,16,17
519,PN,25,24,9
520,PN,3,15,4
521,PN,21,22,17
522,PN,10,19,7
523,PN,22,23,22
524,PN,8,8,5
525,PN,31,29,16
526,PN,13,14,10
527,PN,28,24,20
528,PN,33,9,21
529,PN,6,9,7
530,PN,3,5,7
531,PN,3,5,3
532,PN,1,2,0
533,PN,9,11,2
534,PN,2,4,1
535,PN,12,9,15
536,PN,24,15,9
537,PN,31,11,14
538,PN,11,16,5
539,PN,14,10,4
540,PN,25,25,19
541,PN,28,25,14
542,PN,10,13,8
543,PN,0,2,2
544,PN,6,7,4
545,PN,33,38,30
546,PN,7,10,3
547,PN,0,0,0
548,PN,35,35,23
549,PN,12,16,9
550,PN,38,22,27
551,PN,8,16,10
552,PN,14,20,7
553,PN,12,17,12
554,PN,1,1,0
555,PN,0,0,0
556,PN,9,6,8
557,PN,30,21,8
