,Node Label,PN incoming Connections,FSI incoming Connections,LTS incoming Connections
389,PN,67,51,31
390,PN,67,41,31
391,PN,67,57,44
392,PN,77,55,27
393,PN,33,25,8
394,PN,55,28,24
395,PN,66,53,44
396,PN,70,52,28
397,PN,72,50,48
398,PN,37,22,14
399,PN,46,34,35
400,PN,92,63,50
401,PN,69,53,41
402,PN,72,51,36
403,PN,50,39,20
404,PN,61,28,22
405,PN,35,42,26
406,PN,84,66,38
407,PN,68,40,26
408,PN,24,14,14
409,PN,66,52,39
410,PN,43,14,13
411,PN,50,45,26
412,PN,73,62,38
413,PN,63,58,46
414,PN,53,55,38
415,PN,69,45,34
416,PN,75,72,31
417,PN,80,50,42
418,PN,61,47,33
419,PN,53,36,34
420,PN,66,46,25
421,PN,53,43,32
422,PN,73,58,43
423,PN,62,50,34
424,PN,65,53,43
425,PN,62,51,27
426,PN,69,45,49
427,PN,42,48,22
428,PN,73,65,55
429,PN,42,44,28
430,PN,58,52,37
431,PN,57,45,35
432,PN,83,69,40
433,PN,65,44,35
434,PN,62,50,32
435,PN,60,46,32
436,PN,62,61,44
437,PN,73,40,27
438,PN,39,30,13
439,PN,44,22,19
440,PN,72,49,27
441,PN,67,44,33
442,PN,74,61,37
443,PN,58,42,33
444,PN,45,24,23
445,PN,53,42,39
446,PN,51,40,20
447,PN,40,33,28
448,PN,19,19,15
449,PN,62,57,26
450,PN,76,35,37
451,PN,32,28,21
452,PN,35,23,15
453,PN,76,46,41
454,PN,68,44,31
455,PN,26,20,11
456,PN,69,38,47
457,PN,77,64,43
458,PN,74,33,25
459,PN,67,42,43
460,PN,39,27,30
461,PN,66,51,34
462,PN,37,33,31
463,PN,71,50,33
464,PN,46,23,20
465,PN,76,61,50
466,PN,26,30,18
467,PN,71,56,30
468,PN,58,32,19
469,PN,83,44,34
470,PN,72,46,41
471,PN,63,58,42
472,PN,58,54,34
473,PN,72,42,26
474,PN,67,31,21
475,PN,82,46,40
476,PN,40,21,24
477,PN,34,32,15
478,PN,35,39,29
479,PN,71,55,44
480,PN,71,59,49
481,PN,82,48,49
482,PN,44,30,15
483,PN,63,38,32
484,PN,61,35,38
485,PN,61,24,32
486,PN,80,75,60
487,PN,62,54,37
488,PN,76,60,40
489,PN,74,56,42
490,PN,68,48,52
491,PN,67,51,35
492,PN,69,61,44
493,PN,54,53,29
494,PN,81,54,52
495,PN,85,62,43
496,PN,37,61,28
497,PN,41,28,22
498,PN,53,50,38
499,PN,67,52,34
500,PN,67,35,31
501,PN,74,65,55
502,PN,68,63,56
503,PN,78,60,43
504,PN,69,40,46
505,PN,25,20,17
506,PN,87,48,39
507,PN,52,36,29
508,PN,55,28,28
509,PN,21,21,15
510,PN,24,28,21
511,PN,57,47,34
512,PN,51,48,36
513,PN,89,60,44
514,PN,51,33,23
515,PN,73,52,41
516,PN,43,40,15
517,PN,68,52,50
518,PN,57,22,16
519,PN,47,25,18
520,PN,70,62,35
521,PN,49,30,17
522,PN,65,44,37
523,PN,39,25,25
524,PN,51,42,30
525,PN,50,22,17
526,PN,61,44,33
527,PN,49,29,24
528,PN,39,26,8
529,PN,71,59,42
530,PN,68,49,42
531,PN,71,64,50
532,PN,84,54,37
533,PN,65,38,38
534,PN,64,60,50
535,PN,66,41,25
536,PN,49,36,26
537,PN,60,24,19
538,PN,79,37,28
539,PN,52,25,24
540,PN,46,32,19
541,PN,69,42,25
542,PN,56,35,27
543,PN,73,53,51
544,PN,58,55,36
545,PN,41,23,18
546,PN,73,46,39
547,PN,82,71,59
548,PN,42,42,27
549,PN,74,32,34
550,PN,38,47,16
551,PN,43,23,30
552,PN,69,63,28
553,PN,71,47,37
554,PN,93,51,39
555,PN,79,55,39
556,PN,70,44,32
557,PN,48,27,16
558,PN,86,48,33
559,PN,49,51,38
560,PN,53,45,26
561,PN,76,49,46
562,PN,66,39,35
563,PN,57,54,33
564,PN,35,33,16
565,PN,57,43,25
566,PN,39,27,21
567,PN,59,43,22
568,PN,61,35,38
569,PN,76,42,30
570,PN,73,37,43
571,PN,58,48,41
572,PN,55,52,27
573,PN,43,26,14
574,PN,81,62,45
575,PN,56,37,30
576,PN,66,27,29
577,PN,61,43,28
578,PN,66,36,35
579,PN,84,44,34
580,PN,67,55,40
581,PN,63,33,28
582,PN,23,16,26
583,PN,51,30,29
584,PN,80,43,34
585,PN,63,60,34
586,PN,60,55,45
587,PN,68,45,32
588,PN,48,29,26
589,PN,55,47,33
590,PN,37,17,14
591,PN,67,45,30
592,PN,37,27,28
593,PN,50,39,41
594,PN,58,54,29
595,PN,73,47,41
596,PN,59,43,35
597,PN,65,40,36
598,PN,56,38,29
599,PN,57,25,22
600,PN,46,39,24
601,PN,36,31,24
602,PN,78,41,37
603,PN,76,73,63
604,PN,64,31,20
605,PN,73,61,45
606,PN,44,17,18
607,PN,55,67,55
608,PN,38,19,19
609,PN,69,36,33
610,PN,50,42,31
611,PN,82,49,49
612,PN,74,48,31
613,PN,82,42,59
614,PN,49,33,38
615,PN,75,68,47
616,PN,61,36,19
617,PN,48,24,24
618,PN,31,28,21
619,PN,76,74,51
620,PN,38,28,29
621,PN,81,50,35
622,PN,56,35,27
623,PN,82,58,52
624,PN,49,35,17
625,PN,74,54,42
626,PN,80,52,29
627,PN,41,47,25
628,PN,61,54,38
629,PN,81,38,23
630,PN,63,46,48
631,PN,82,51,34
632,PN,67,36,21
633,PN,84,57,39
634,PN,66,51,45
635,PN,52,43,33
636,PN,54,47,35
637,PN,58,62,42
638,PN,62,55,35
639,PN,52,41,22
640,PN,56,31,33
641,PN,58,62,30
642,PN,52,45,34
643,PN,73,49,36
644,PN,36,28,31
645,PN,44,35,23
646,PN,77,55,36
647,PN,55,55,43
648,PN,58,24,17
649,PN,40,32,27
650,PN,55,39,25
651,PN,37,22,12
652,PN,66,47,34
653,PN,71,49,32
654,PN,56,45,30
655,PN,68,28,26
656,PN,80,50,31
657,PN,74,62,64
658,PN,74,59,41
659,PN,49,33,30
660,PN,53,33,26
661,PN,72,64,37
662,PN,44,40,17
663,PN,46,46,27
664,PN,39,36,20
665,PN,66,59,43
666,PN,49,42,34
667,PN,70,41,18
668,PN,78,62,44
669,PN,64,51,36
670,PN,61,60,42
671,PN,62,44,24
672,PN,29,24,21
673,PN,76,53,34
674,PN,71,73,48
675,PN,63,59,42
676,PN,45,14,23
677,PN,62,47,27
678,PN,51,53,42
679,PN,58,33,20
680,PN,57,27,26
681,PN,55,31,28
682,PN,42,45,22
683,PN,71,64,50
684,PN,66,41,24
685,PN,65,44,31
686,PN,40,23,26
687,PN,74,74,50
688,PN,66,58,46
689,PN,51,42,38
690,PN,72,38,30
691,PN,87,51,26
692,PN,63,62,45
693,PN,68,49,40
694,PN,44,30,20
695,PN,61,46,38
696,PN,79,63,43
697,PN,59,37,32
698,PN,71,63,41
699,PN,66,53,31
700,PN,50,33,23
701,PN,53,43,40
702,PN,81,43,51
703,PN,69,38,42
704,PN,51,33,29
705,PN,78,68,32
706,PN,63,58,43
707,PN,76,49,39
708,PN,67,32,19
709,PN,53,41,29
710,PN,63,21,18
711,PN,69,55,45
712,PN,74,36,28
713,PN,79,55,42
714,PN,72,43,36
715,PN,66,66,52
716,PN,87,67,53
717,PN,52,31,18
718,PN,60,46,31
719,PN,64,58,46
720,PN,78,55,36
721,PN,70,36,29
722,PN,69,32,30
723,PN,31,37,10
724,PN,63,55,42
725,PN,48,38,33
726,PN,68,42,29
727,PN,48,38,27
728,PN,62,31,26
729,PN,76,44,42
730,PN,87,49,47
731,PN,73,48,27
732,PN,74,46,29
733,PN,53,26,11
734,PN,72,48,40
735,PN,52,41,35
736,PN,59,46,33
737,PN,51,30,24
738,PN,44,47,23
739,PN,80,59,41
740,PN,79,38,29
741,PN,37,42,22
742,PN,70,70,50
743,PN,36,31,30
744,PN,22,16,14
745,PN,65,62,51
746,PN,84,54,39
747,PN,57,45,28
748,PN,58,39,38
749,PN,55,26,26
750,PN,56,55,41
751,PN,86,62,56
752,PN,71,46,25
753,PN,78,45,26
754,PN,72,55,44
755,PN,60,24,26
756,PN,70,38,47
757,PN,57,37,32
758,PN,29,14,18
759,PN,40,28,17
760,PN,91,53,43
761,PN,25,21,19
762,PN,62,44,26
763,PN,68,60,36
764,PN,69,50,41
765,PN,60,44,31
766,PN,61,32,26
767,PN,34,25,33
768,PN,44,23,14
769,PN,50,29,39
770,PN,50,74,53
771,PN,46,36,32
772,PN,72,45,34
773,PN,57,58,44
774,PN,57,38,39
775,PN,71,48,38
776,PN,65,36,33
777,PN,52,27,25
778,PN,68,42,45
779,PN,56,57,46
780,PN,55,53,31
781,PN,80,49,48
782,PN,60,18,19
783,PN,31,23,16
784,PN,79,45,33
785,PN,54,40,20
786,PN,37,21,11
787,PN,51,47,43
788,PN,87,60,53
789,PN,75,51,42
790,PN,53,38,22
791,PN,71,41,35
792,PN,81,51,36
793,PN,88,65,40
794,PN,63,48,37
795,PN,69,54,52
796,PN,77,73,50
797,PN,62,36,27
798,PN,61,49,36
799,PN,42,55,24
800,PN,50,43,24
801,PN,67,64,42
802,PN,69,48,31
803,PN,67,55,36
804,PN,35,30,15
805,PN,76,52,43
806,PN,55,54,35
807,PN,31,20,8
808,PN,50,29,23
809,PN,37,24,28
810,PN,56,41,33
811,PN,73,47,28
812,PN,78,61,45
813,PN,38,27,33
814,PN,61,36,31
815,PN,64,36,15
816,PN,63,46,25
817,PN,65,54,33
818,PN,64,32,33
819,PN,81,55,40
820,PN,75,42,27
821,PN,47,40,44
822,PN,73,52,42
823,PN,78,56,34
824,PN,75,62,38
825,PN,78,45,32
826,PN,58,41,29
827,PN,71,64,40
828,PN,79,52,45
829,PN,62,53,30
830,PN,70,38,38
831,PN,64,61,42
832,PN,89,40,29
833,PN,51,21,20
834,PN,61,56,43
835,PN,43,29,20
836,PN,43,26,28
837,PN,46,27,19
838,PN,84,42,37
839,PN,66,35,17
840,PN,53,41,30
841,PN,34,27,21
842,PN,18,10,14
843,PN,28,24,18
844,PN,49,38,30
845,PN,52,39,31
846,PN,46,27,23
847,PN,47,39,33
848,PN,82,62,65
849,PN,56,47,28
850,PN,61,19,14
851,PN,80,35,40
852,PN,70,50,32
853,PN,65,58,50
854,PN,67,42,31
855,PN,79,43,32
856,PN,71,66,51
857,PN,71,49,38
858,PN,84,59,47
859,PN,57,46,29
860,PN,51,46,22
861,PN,70,36,26
862,PN,42,33,29
863,PN,35,22,18
864,PN,71,56,40
865,PN,50,29,23
866,PN,70,71,46
867,PN,58,43,36
868,PN,52,40,26
869,PN,56,40,25
870,PN,57,35,24
871,PN,52,53,30
872,PN,69,51,35
873,PN,76,38,39
874,PN,36,27,17
875,PN,64,44,29
876,PN,69,49,44
877,PN,43,19,13
878,PN,46,44,30
879,PN,65,44,38
880,PN,76,57,54
881,PN,59,47,30
882,PN,64,37,28
883,PN,56,32,20
884,PN,73,79,53
885,PN,50,27,30
886,PN,53,33,22
887,PN,55,26,12
888,PN,52,30,39
889,PN,65,52,49
890,PN,61,52,36
891,PN,66,57,30
892,PN,44,46,43
893,PN,58,52,24
894,PN,47,15,22
895,PN,65,47,45
896,PN,64,52,45
897,PN,33,34,24
898,PN,54,47,22
899,PN,72,54,29
900,PN,60,24,19
901,PN,55,33,27
902,PN,63,39,26
903,PN,70,52,47
904,PN,62,61,48
905,PN,51,40,28
906,PN,78,62,47
907,PN,72,40,24
908,PN,75,59,39
